iter	Passed	Remaining
0	0	59
1	1	54
2	1	61
3	2	62
4	3	66
5	4	68
6	5	68
7	5	68
8	6	67
9	7	66
10	8	68
11	9	68
12	10	68
13	10	67
14	11	66
15	12	64
16	12	63
17	13	61
18	14	60
19	14	58
20	15	57
21	15	56
22	16	55
23	17	54
24	17	52
25	18	51
26	18	50
27	19	49
28	19	48
29	20	47
30	20	46
31	21	45
32	21	44
33	22	43
34	22	42
35	23	41
36	23	40
37	24	39
38	24	39
39	25	38
40	26	37
41	26	36
42	26	35
43	27	34
44	27	33
45	28	32
46	28	32
47	28	31
48	29	30
49	29	29
50	30	29
51	30	28
52	31	27
53	31	26
54	31	26
55	32	25
56	32	24
57	33	24
58	33	23
59	34	22
60	34	22
61	35	21
62	35	20
63	35	20
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	15
71	39	15
72	40	14
73	40	14
74	41	13
75	41	13
76	42	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	46	7
86	46	6
87	47	6
88	47	5
89	47	5
90	48	4
91	48	4
92	49	3
93	49	3
94	50	2
95	50	2
96	50	1
97	51	1
98	51	0
99	52	0
